HallSensor,,i,
2019-02-02 14:42:58.9500,492,2019-02-02 14:42:58.9540,55
2019-02-02 14:42:58.9540,493,2019-02-02 14:42:58.9580,54
2019-02-02 14:42:58.9620,493,2019-02-02 14:42:58.9630,53
2019-02-02 14:42:58.9670,493,2019-02-02 14:42:58.9670,52
2019-02-02 14:42:58.9710,493,2019-02-02 14:42:58.9710,51
2019-02-02 14:42:58.9750,494,2019-02-02 14:42:58.9790,50
2019-02-02 14:42:58.9790,494,2019-02-02 14:42:58.9830,49
2019-02-02 14:42:58.9870,495,2019-02-02 14:42:58.9870,48
2019-02-02 14:42:58.9910,496,2019-02-02 14:42:58.9910,47
2019-02-02 14:42:58.9950,498,2019-02-02 14:42:58.9950,46
2019-02-02 14:42:58.9990,498,2019-02-02 14:42:59.0030,45
2019-02-02 14:42:59.0030,498,2019-02-02 14:42:59.0070,44
2019-02-02 14:42:59.0110,499,2019-02-02 14:42:59.0110,43
2019-02-02 14:42:59.0160,499,2019-02-02 14:42:59.0160,42
2019-02-02 14:42:59.0200,499,2019-02-02 14:42:59.0200,41
2019-02-02 14:42:59.0240,499,2019-02-02 14:42:59.0280,40
2019-02-02 14:42:59.0280,500,2019-02-02 14:42:59.0320,39
2019-02-02 14:42:59.0360,500,2019-02-02 14:42:59.0360,38
2019-02-02 14:42:59.0400,500,2019-02-02 14:42:59.0400,37
2019-02-02 14:42:59.0440,501,2019-02-02 14:42:59.0440,36
2019-02-02 14:42:59.0480,501,2019-02-02 14:42:59.0520,35
2019-02-02 14:42:59.0520,501,2019-02-02 14:42:59.0570,34
2019-02-02 14:42:59.0610,502,2019-02-02 14:42:59.0610,33
2019-02-02 14:42:59.0650,502,2019-02-02 14:42:59.0650,32
2019-02-02 14:42:59.0690,502,2019-02-02 14:42:59.0730,31
2019-02-02 14:42:59.0730,504,2019-02-02 14:42:59.0770,30
2019-02-02 14:42:59.0770,505,2019-02-02 14:42:59.0810,29
2019-02-02 14:42:59.0850,505,2019-02-02 14:42:59.0850,28
2019-02-02 14:42:59.0890,506,2019-02-02 14:42:59.0890,27
2019-02-02 14:42:59.0930,506,2019-02-02 14:42:59.0980,26
2019-02-02 14:42:59.0980,506,2019-02-02 14:42:59.1020,25
2019-02-02 14:42:59.1020,506,2019-02-02 14:42:59.1060,24
2019-02-02 14:42:59.1100,507,2019-02-02 14:42:59.1100,23
2019-02-02 14:42:59.1140,507,2019-02-02 14:42:59.1140,22
2019-02-02 14:42:59.1180,508,2019-02-02 14:42:59.1220,21
2019-02-02 14:42:59.1220,508,2019-02-02 14:42:59.1260,20
2019-02-02 14:42:59.1260,508,2019-02-02 14:42:59.1300,19
2019-02-02 14:42:59.1340,509,2019-02-02 14:42:59.1340,18
2019-02-02 14:42:59.1380,509,2019-02-02 14:42:59.1380,17
2019-02-02 14:42:59.1430,510,2019-02-02 14:42:59.1470,16
2019-02-02 14:42:59.1470,510,2019-02-02 14:42:59.1510,15
2019-02-02 14:42:59.1510,510,2019-02-02 14:42:59.1550,14
2019-02-02 14:42:59.1590,511,2019-02-02 14:42:59.1590,13
2019-02-02 14:42:59.1630,512,2019-02-02 14:42:59.1630,12
2019-02-02 14:42:59.1670,512,2019-02-02 14:42:59.1710,11
2019-02-02 14:42:59.1710,513,2019-02-02 14:42:59.1750,10
2019-02-02 14:42:59.1790,513,2019-02-02 14:42:59.1790,9
2019-02-02 14:42:59.1840,514,2019-02-02 14:42:59.1840,8
2019-02-02 14:42:59.1880,514,2019-02-02 14:42:59.1880,7
2019-02-02 14:42:59.1920,514,2019-02-02 14:42:59.1960,6
2019-02-02 14:42:59.1960,515,2019-02-02 14:42:59.2000,5
2019-02-02 14:42:59.2000,515,2019-02-02 14:42:59.2040,4
2019-02-02 14:42:59.2080,516,2019-02-02 14:42:59.2080,3
2019-02-02 14:42:59.2120,516,2019-02-02 14:42:59.2120,2
2019-02-02 14:42:59.2160,517,2019-02-02 14:42:59.2160,1
2019-02-02 14:42:59.2200,517,2019-02-02 14:42:59.2240,0
2019-02-02 14:42:59.2240,518,2019-02-02 14:42:59.2290,-1
2019-02-02 14:42:59.2330,518,2019-02-02 14:42:59.2330,-2
2019-02-02 14:42:59.2370,518,2019-02-02 14:42:59.2370,-3
2019-02-02 14:42:59.2410,519,2019-02-02 14:42:59.2410,-4
2019-02-02 14:42:59.2450,519,2019-02-02 14:42:59.2490,-5
2019-02-02 14:42:59.2490,520,2019-02-02 14:42:59.2530,-6
2019-02-02 14:42:59.2570,520,2019-02-02 14:42:59.2570,-7
2019-02-02 14:42:59.2610,521,2019-02-02 14:42:59.2610,-8
2019-02-02 14:42:59.2660,521,2019-02-02 14:42:59.2660,-9
2019-02-02 14:42:59.2700,522,2019-02-02 14:42:59.2740,-10
2019-02-02 14:42:59.2740,522,2019-02-02 14:42:59.2780,-11
2019-02-02 14:42:59.2820,522,2019-02-02 14:42:59.2820,-12
2019-02-02 14:42:59.2860,523,2019-02-02 14:42:59.2860,-13
2019-02-02 14:42:59.2900,523,2019-02-02 14:42:59.2950,-14
2019-02-02 14:42:59.2950,524,2019-02-02 14:42:59.2980,-15
2019-02-02 14:42:59.3030,524,2019-02-02 14:42:59.3030,-16
2019-02-02 14:42:59.3070,525,2019-02-02 14:42:59.3070,-17
2019-02-02 14:42:59.3110,526,2019-02-02 14:42:59.3150,-18
2019-02-02 14:42:59.3150,526,2019-02-02 14:42:59.3190,-19
2019-02-02 14:42:59.3190,527,2019-02-02 14:42:59.3230,-20
2019-02-02 14:42:59.3280,527,2019-02-02 14:42:59.3280,-21
2019-02-02 14:42:59.3310,527,2019-02-02 14:42:59.3310,-22
2019-02-02 14:42:59.3350,528,2019-02-02 14:42:59.3400,-23
2019-02-02 14:42:59.3400,528,2019-02-02 14:42:59.3430,-24
2019-02-02 14:42:59.3480,528,2019-02-02 14:42:59.3480,-25
2019-02-02 14:42:59.3520,529,2019-02-02 14:42:59.3520,-26
2019-02-02 14:42:59.3560,529,2019-02-02 14:42:59.3600,-27
2019-02-02 14:42:59.3600,529,2019-02-02 14:42:59.3640,-28
2019-02-02 14:42:59.3640,530,2019-02-02 14:42:59.3680,-29
2019-02-02 14:42:59.3720,531,2019-02-02 14:42:59.3720,-30
2019-02-02 14:42:59.3760,532,2019-02-02 14:42:59.3770,-31
2019-02-02 14:42:59.3810,532,2019-02-02 14:42:59.3840,-32
2019-02-02 14:42:59.3840,533,2019-02-02 14:42:59.3880,-33
2019-02-02 14:42:59.3920,533,2019-02-02 14:42:59.3920,-34
2019-02-02 14:42:59.3970,533,2019-02-02 14:42:59.3970,-35
2019-02-02 14:42:59.4010,533,2019-02-02 14:42:59.4050,-36
2019-02-02 14:42:59.4050,534,2019-02-02 14:42:59.4090,-37
2019-02-02 14:42:59.4090,534,2019-02-02 14:42:59.4130,-38
2019-02-02 14:42:59.4170,534,2019-02-02 14:42:59.4170,-39
2019-02-02 14:42:59.4210,534,2019-02-02 14:42:59.4210,-40
2019-02-02 14:42:59.4250,535,2019-02-02 14:42:59.4290,-41
2019-02-02 14:42:59.4290,535,2019-02-02 14:42:59.4330,-42
2019-02-02 14:42:59.4370,537,2019-02-02 14:42:59.4370,-43
2019-02-02 14:42:59.4410,538,2019-02-02 14:42:59.4410,-44
2019-02-02 14:42:59.4460,539,2019-02-02 14:42:59.4500,-45
2019-02-02 14:42:59.4500,539,2019-02-02 14:42:59.4540,-46
2019-02-02 14:42:59.4580,539,2019-02-02 14:42:59.4580,-47
2019-02-02 14:42:59.4620,539,2019-02-02 14:42:59.4620,-48
2019-02-02 14:42:59.4660,539,2019-02-02 14:42:59.4660,-49
2019-02-02 14:42:59.4700,540,2019-02-02 14:42:59.4740,-50
2019-02-02 14:42:59.4740,540,2019-02-02 14:42:59.4780,-51
2019-02-02 14:42:59.4820,540,2019-02-02 14:42:59.4820,-52
2019-02-02 14:42:59.4870,540,2019-02-02 14:42:59.4870,-53
2019-02-02 14:42:59.4910,540,2019-02-02 14:42:59.4950,-54
2019-02-02 14:42:59.4950,541,2019-02-02 14:42:59.4990,-55
2019-02-02 14:42:59.5030,542,2019-02-02 14:42:59.5030,-56
2019-02-02 14:42:59.5070,544,2019-02-02 14:42:59.5070,-57
2019-02-02 14:42:59.5110,545,2019-02-02 14:42:59.5110,-58
2019-02-02 14:42:59.5150,545,2019-02-02 14:42:59.5190,-59
2019-02-02 14:42:59.5190,545,2019-02-02 14:42:59.5230,-60
2019-02-02 14:42:59.5280,545,2019-02-02 14:42:59.5280,-61
2019-02-02 14:42:59.5320,546,2019-02-02 14:42:59.5320,-62
2019-02-02 14:42:59.5360,546,2019-02-02 14:42:59.5400,-63
2019-02-02 14:42:59.5400,546,2019-02-02 14:42:59.5440,-64
2019-02-02 14:42:59.5480,546,2019-02-02 14:42:59.5480,-65
2019-02-02 14:42:59.5520,546,2019-02-02 14:42:59.5520,-66
2019-02-02 14:42:59.5560,546,2019-02-02 14:42:59.5600,-67
2019-02-02 14:42:59.5600,546,2019-02-02 14:42:59.5640,-68
2019-02-02 14:42:59.5650,548,2019-02-02 14:42:59.5690,-69
2019-02-02 14:42:59.5730,549,2019-02-02 14:42:59.5730,-70
2019-02-02 14:42:59.5770,551,2019-02-02 14:42:59.5770,-71
2019-02-02 14:42:59.5810,551,2019-02-02 14:42:59.5850,-72
2019-02-02 14:42:59.5850,551,2019-02-02 14:42:59.5890,-73
2019-02-02 14:42:59.5930,551,2019-02-02 14:42:59.5930,-74
2019-02-02 14:42:59.5970,552,2019-02-02 14:42:59.5970,-75
2019-02-02 14:42:59.6010,552,2019-02-02 14:42:59.6050,-76
2019-02-02 14:42:59.6050,552,2019-02-02 14:42:59.6100,-77
2019-02-02 14:42:59.6100,552,2019-02-02 14:42:59.6140,-78
2019-02-02 14:42:59.6180,552,2019-02-02 14:42:59.6180,-79
2019-02-02 14:42:59.6220,552,2019-02-02 14:42:59.6220,-80
2019-02-02 14:42:59.6260,552,2019-02-02 14:42:59.6300,-81
2019-02-02 14:42:59.6300,553,2019-02-02 14:42:59.6340,-82
2019-02-02 14:42:59.6380,555,2019-02-02 14:42:59.6380,-83
2019-02-02 14:42:59.6420,556,2019-02-02 14:42:59.6420,-84
2019-02-02 14:42:59.6460,557,2019-02-02 14:42:59.6510,-85
2019-02-02 14:42:59.6510,558,2019-02-02 14:42:59.6550,-86
2019-02-02 14:42:59.6590,558,2019-02-02 14:42:59.6590,-87
2019-02-02 14:42:59.6630,558,2019-02-02 14:42:59.6630,-88
2019-02-02 14:42:59.6670,557,2019-02-02 14:42:59.6670,-89
2019-02-02 14:42:59.6720,557,2019-02-02 14:42:59.6750,-90
2019-02-02 14:42:59.6750,557,2019-02-02 14:42:59.6800,-91
2019-02-02 14:42:59.6840,557,2019-02-02 14:42:59.6840,-92
2019-02-02 14:42:59.6880,557,2019-02-02 14:42:59.6880,-93
2019-02-02 14:42:59.6920,558,2019-02-02 14:42:59.6960,-94
2019-02-02 14:42:59.6960,559,2019-02-02 14:42:59.7000,-95
2019-02-02 14:42:59.7050,560,2019-02-02 14:42:59.7050,-96
2019-02-02 14:42:59.7080,561,2019-02-02 14:42:59.7090,-97
2019-02-02 14:42:59.7120,563,2019-02-02 14:42:59.7120,-98
2019-02-02 14:42:59.7170,564,2019-02-02 14:42:59.7210,-99
2019-02-02 14:42:59.7210,564,2019-02-02 14:42:59.7250,-100
2019-02-02 14:42:59.7290,563,2019-02-02 14:42:59.7290,-101
2019-02-02 14:42:59.7330,561,2019-02-02 14:42:59.7330,-102
2019-02-02 14:42:59.7370,563,2019-02-02 14:42:59.7410,-103
2019-02-02 14:42:59.7410,566,2019-02-02 14:42:59.7450,-104
2019-02-02 14:42:59.7490,566,2019-02-02 14:42:59.7490,-105
2019-02-02 14:42:59.7530,564,2019-02-02 14:42:59.7540,-106
2019-02-02 14:42:59.7580,563,2019-02-02 14:42:59.7620,-107
2019-02-02 14:42:59.7620,566,2019-02-02 14:42:59.7660,-108
2019-02-02 14:42:59.7700,568,2019-02-02 14:42:59.7700,-109
2019-02-02 14:42:59.7740,567,2019-02-02 14:42:59.7740,-110
2019-02-02 14:42:59.7780,566,2019-02-02 14:42:59.7820,-111
2019-02-02 14:42:59.7820,566,2019-02-02 14:42:59.7860,-112
2019-02-02 14:42:59.7900,569,2019-02-02 14:42:59.7900,-113
2019-02-02 14:42:59.7940,570,2019-02-02 14:42:59.7940,-114
2019-02-02 14:42:59.7980,569,2019-02-02 14:42:59.8020,-115
2019-02-02 14:42:59.8030,568,2019-02-02 14:42:59.8070,-116
2019-02-02 14:42:59.8110,569,2019-02-02 14:42:59.8110,-117
2019-02-02 14:42:59.8150,572,2019-02-02 14:42:59.8150,-118
2019-02-02 14:42:59.8190,572,2019-02-02 14:42:59.8230,-119
2019-02-02 14:42:59.8230,571,2019-02-02 14:42:59.8270,-120
2019-02-02 14:42:59.8310,569,2019-02-02 14:42:59.8310,-121
2019-02-02 14:42:59.8350,572,2019-02-02 14:42:59.8360,-122
2019-02-02 14:42:59.8390,574,2019-02-02 14:42:59.8430,-123
2019-02-02 14:42:59.8440,574,2019-02-02 14:42:59.8480,-124
2019-02-02 14:42:59.8520,573,2019-02-02 14:42:59.8520,-125
2019-02-02 14:42:59.8560,572,2019-02-02 14:42:59.8560,-126
2019-02-02 14:42:59.8600,575,2019-02-02 14:42:59.8640,-127
2019-02-02 14:42:59.8640,577,2019-02-02 14:42:59.8680,-128
2019-02-02 14:42:59.8720,576,2019-02-02 14:42:59.8720,-129
2019-02-02 14:42:59.8760,574,2019-02-02 14:42:59.8760,-130
2019-02-02 14:42:59.8800,575,2019-02-02 14:42:59.8840,-131
2019-02-02 14:42:59.8840,578,2019-02-02 14:42:59.8880,-132
2019-02-02 14:42:59.8920,579,2019-02-02 14:42:59.8930,-133
2019-02-02 14:42:59.8960,577,2019-02-02 14:42:59.8960,-134
2019-02-02 14:42:59.9000,576,2019-02-02 14:42:59.9050,-135
2019-02-02 14:42:59.9050,578,2019-02-02 14:42:59.9090,-136
2019-02-02 14:42:59.9130,580,2019-02-02 14:42:59.9130,-137
2019-02-02 14:42:59.9170,580,2019-02-02 14:42:59.9170,-138
2019-02-02 14:42:59.9210,579,2019-02-02 14:42:59.9250,-139
2019-02-02 14:42:59.9250,579,2019-02-02 14:42:59.9290,-140
2019-02-02 14:42:59.9330,581,2019-02-02 14:42:59.9330,-141
2019-02-02 14:42:59.9370,583,2019-02-02 14:42:59.9370,-142
2019-02-02 14:42:59.9410,582,2019-02-02 14:42:59.9460,-143
2019-02-02 14:42:59.9460,580,2019-02-02 14:42:59.9500,-144
2019-02-02 14:42:59.9500,581,2019-02-02 14:42:59.9540,-145
2019-02-02 14:42:59.9580,584,2019-02-02 14:42:59.9580,-146
2019-02-02 14:42:59.9620,585,2019-02-02 14:42:59.9660,-147
2019-02-02 14:42:59.9660,584,2019-02-02 14:42:59.9700,-148
2019-02-02 14:42:59.9700,582,2019-02-02 14:42:59.9740,-149
2019-02-02 14:42:59.9780,584,2019-02-02 14:42:59.9780,-150
2019-02-02 14:42:59.9830,586,2019-02-02 14:42:59.9830,-151
2019-02-02 14:42:59.9870,587,2019-02-02 14:42:59.9910,-152
2019-02-02 14:42:59.9910,585,2019-02-02 14:42:59.9950,-153
2019-02-02 14:42:59.9990,585,2019-02-02 14:42:59.9990,-154
2019-02-02 14:43:00.0030,587,2019-02-02 14:43:00.0030,-155
2019-02-02 14:43:00.0070,589,2019-02-02 14:43:00.0110,-156
2019-02-02 14:43:00.0110,589,2019-02-02 14:43:00.0150,-157
2019-02-02 14:43:00.0190,587,2019-02-02 14:43:00.0190,-158
2019-02-02 14:43:00.0230,588,2019-02-02 14:43:00.0230,-159
2019-02-02 14:43:00.0280,590,2019-02-02 14:43:00.0320,-160
2019-02-02 14:43:00.0320,592,2019-02-02 14:43:00.0360,-161
2019-02-02 14:43:00.0400,590,2019-02-02 14:43:00.0400,-162
2019-02-02 14:43:00.0440,589,2019-02-02 14:43:00.0440,-163
2019-02-02 14:43:00.0480,591,2019-02-02 14:43:00.0520,-164
2019-02-02 14:43:00.0520,592,2019-02-02 14:43:00.0560,-165
2019-02-02 14:43:00.0600,594,2019-02-02 14:43:00.0600,-166
2019-02-02 14:43:00.0640,592,2019-02-02 14:43:00.0640,-167
2019-02-02 14:43:00.0690,591,2019-02-02 14:43:00.0730,-168
2019-02-02 14:43:00.0730,593,2019-02-02 14:43:00.0770,-169
2019-02-02 14:43:00.0810,595,2019-02-02 14:43:00.0810,-170
2019-02-02 14:43:00.0850,595,2019-02-02 14:43:00.0850,-171
2019-02-02 14:43:00.0890,593,2019-02-02 14:43:00.0930,-172
2019-02-02 14:43:00.0930,594,2019-02-02 14:43:00.0970,-173
2019-02-02 14:43:00.1010,596,2019-02-02 14:43:00.1010,-174
2019-02-02 14:43:00.1050,597,2019-02-02 14:43:00.1050,-175
2019-02-02 14:43:00.1090,597,2019-02-02 14:43:00.1140,-176
2019-02-02 14:43:00.1140,595,2019-02-02 14:43:00.1180,-177
2019-02-02 14:43:00.1220,597,2019-02-02 14:43:00.1220,-178
2019-02-02 14:43:00.1260,598,2019-02-02 14:43:00.1260,-179
2019-02-02 14:43:00.1300,600,2019-02-02 14:43:00.1340,-180
2019-02-02 14:43:00.1340,598,2019-02-02 14:43:00.1380,-181
2019-02-02 14:43:00.1420,598,2019-02-02 14:43:00.1420,-182
2019-02-02 14:43:00.1460,599,2019-02-02 14:43:00.1460,-183
2019-02-02 14:43:00.1500,601,2019-02-02 14:43:00.1550,-184
2019-02-02 14:43:00.1550,602,2019-02-02 14:43:00.1590,-185
2019-02-02 14:43:00.1630,599,2019-02-02 14:43:00.1630,-186
2019-02-02 14:43:00.1670,600,2019-02-02 14:43:00.1670,-187
2019-02-02 14:43:00.1710,602,2019-02-02 14:43:00.1760,-188
2019-02-02 14:43:00.1760,603,2019-02-02 14:43:00.1790,-189
2019-02-02 14:43:00.1830,603,2019-02-02 14:43:00.1840,-190
2019-02-02 14:43:00.1870,601,2019-02-02 14:43:00.1870,-191
2019-02-02 14:43:00.1910,603,2019-02-02 14:43:00.1950,-192
2019-02-02 14:43:00.1950,604,2019-02-02 14:43:00.2000,-193
2019-02-02 14:43:00.2040,606,2019-02-02 14:43:00.2040,-194
2019-02-02 14:43:00.2080,605,2019-02-02 14:43:00.2080,-195
2019-02-02 14:43:00.2120,604,2019-02-02 14:43:00.2160,-196
2019-02-02 14:43:00.2160,605,2019-02-02 14:43:00.2200,-197
2019-02-02 14:43:00.2240,607,2019-02-02 14:43:00.2240,-198
2019-02-02 14:43:00.2280,608,2019-02-02 14:43:00.2280,-199
2019-02-02 14:43:00.2330,606,2019-02-02 14:43:00.2370,-200
2019-02-02 14:43:00.2370,607,2019-02-02 14:43:00.2410,-201
2019-02-02 14:43:00.2410,608,2019-02-02 14:43:00.2450,-202
2019-02-02 14:43:00.2490,609,2019-02-02 14:43:00.2490,-203
2019-02-02 14:43:00.2530,610,2019-02-02 14:43:00.2570,-204
2019-02-02 14:43:00.2570,608,2019-02-02 14:43:00.2610,-205
2019-02-02 14:43:00.2610,609,2019-02-02 14:43:00.2650,-206
2019-02-02 14:43:00.2700,610,2019-02-02 14:43:00.2700,-207
2019-02-02 14:43:00.2730,611,2019-02-02 14:43:00.2770,-208
2019-02-02 14:43:00.2770,611,2019-02-02 14:43:00.2820,-209
2019-02-02 14:43:00.2820,610,2019-02-02 14:43:00.2860,-210
2019-02-02 14:43:00.2900,611,2019-02-02 14:43:00.2900,-211
2019-02-02 14:43:00.2940,613,2019-02-02 14:43:00.2940,-212
2019-02-02 14:43:00.2980,614,2019-02-02 14:43:00.3020,-213
2019-02-02 14:43:00.3020,612,2019-02-02 14:43:00.3060,-214
2019-02-02 14:43:00.3110,613,2019-02-02 14:43:00.3110,-215
2019-02-02 14:43:00.3150,614,2019-02-02 14:43:00.3150,-216
2019-02-02 14:43:00.3190,615,2019-02-02 14:43:00.3230,-217
2019-02-02 14:43:00.3230,616,2019-02-02 14:43:00.3280,-218
2019-02-02 14:43:00.3310,614,2019-02-02 14:43:00.3320,-219
2019-02-02 14:43:00.3360,615,2019-02-02 14:43:00.3360,-220
2019-02-02 14:43:00.3400,616,2019-02-02 14:43:00.3430,-221
2019-02-02 14:43:00.3430,617,2019-02-02 14:43:00.3470,-222
2019-02-02 14:43:00.3510,618,2019-02-02 14:43:00.3510,-223
2019-02-02 14:43:00.3550,617,2019-02-02 14:43:00.3550,-224
2019-02-02 14:43:00.3590,618,2019-02-02 14:43:00.3630,-225
2019-02-02 14:43:00.3640,619,2019-02-02 14:43:00.3680,-226
2019-02-02 14:43:00.3720,620,2019-02-02 14:43:00.3720,-227
2019-02-02 14:43:00.3760,619,2019-02-02 14:43:00.3760,-228
2019-02-02 14:43:00.3800,620,2019-02-02 14:43:00.3840,-229
2019-02-02 14:43:00.3840,620,2019-02-02 14:43:00.3880,-230
2019-02-02 14:43:00.3920,621,2019-02-02 14:43:00.3920,-231
2019-02-02 14:43:00.3960,622,2019-02-02 14:43:00.3960,-232
2019-02-02 14:43:00.4000,621,2019-02-02 14:43:00.4040,-233
2019-02-02 14:43:00.4040,622,2019-02-02 14:43:00.4080,-234
2019-02-02 14:43:00.4120,623,2019-02-02 14:43:00.4120,-235
2019-02-02 14:43:00.4170,623,2019-02-02 14:43:00.4170,-236
2019-02-02 14:43:00.4210,624,2019-02-02 14:43:00.4250,-237
2019-02-02 14:43:00.4250,623,2019-02-02 14:43:00.4290,-238
2019-02-02 14:43:00.4330,624,2019-02-02 14:43:00.4330,-239
2019-02-02 14:43:00.4370,625,2019-02-02 14:43:00.4370,-240
2019-02-02 14:43:00.4410,626,2019-02-02 14:43:00.4450,-241
2019-02-02 14:43:00.4450,625,2019-02-02 14:43:00.4490,-242
2019-02-02 14:43:00.4530,626,2019-02-02 14:43:00.4530,-243
2019-02-02 14:43:00.4570,626,2019-02-02 14:43:00.4570,-244
2019-02-02 14:43:00.4610,627,2019-02-02 14:43:00.4660,-245
2019-02-02 14:43:00.4660,628,2019-02-02 14:43:00.4700,-246
2019-02-02 14:43:00.4740,628,2019-02-02 14:43:00.4740,-247
2019-02-02 14:43:00.4780,628,2019-02-02 14:43:00.4780,-248
2019-02-02 14:43:00.4820,629,2019-02-02 14:43:00.4860,-249
2019-02-02 14:43:00.4860,629,2019-02-02 14:43:00.4900,-250
2019-02-02 14:43:00.4940,630,2019-02-02 14:43:00.4940,-251
2019-02-02 14:43:00.4990,630,2019-02-02 14:43:00.4990,-252
2019-02-02 14:43:00.5020,631,2019-02-02 14:43:00.5070,-253
2019-02-02 14:43:00.5070,631,2019-02-02 14:43:00.5110,-254
2019-02-02 14:43:00.5150,632,2019-02-02 14:43:00.5150,-255
2019-02-02 14:43:00.5190,632,2019-02-02 14:43:00.5190,-254
2019-02-02 14:43:00.5230,632,2019-02-02 14:43:00.5270,-253
2019-02-02 14:43:00.5270,631,2019-02-02 14:43:00.5310,-252
2019-02-02 14:43:00.5310,631,2019-02-02 14:43:00.5350,-251
2019-02-02 14:43:00.5390,631,2019-02-02 14:43:00.5390,-250
2019-02-02 14:43:00.5430,630,2019-02-02 14:43:00.5480,-249
2019-02-02 14:43:00.5480,630,2019-02-02 14:43:00.5520,-248
2019-02-02 14:43:00.5520,629,2019-02-02 14:43:00.5560,-247
