ElectromagnetRemoved,,HallSensor,,i,
2019-02-03 14:32:21.8010,-12.82,2019-02-03 14:32:21.8010,558,2019-02-03 14:32:21.8050,-125
2019-02-03 14:32:21.8090,-13.38,2019-02-03 14:32:21.8130,557,2019-02-03 14:32:21.8130,-124
2019-02-03 14:32:21.8180,-13.93,2019-02-03 14:32:21.8210,559,2019-02-03 14:32:21.8210,-123
2019-02-03 14:32:21.8260,-11.49,2019-02-03 14:32:21.8300,556,2019-02-03 14:32:21.8340,-122
2019-02-03 14:32:21.8380,-14.04,2019-02-03 14:32:21.8380,556,2019-02-03 14:32:21.8420,-121
2019-02-03 14:32:21.8460,-13.6,2019-02-03 14:32:21.8500,558,2019-02-03 14:32:21.8500,-120
2019-02-03 14:32:21.8540,-11.15,2019-02-03 14:32:21.8580,555,2019-02-03 14:32:21.8580,-119
2019-02-03 14:32:21.8620,-13.7,2019-02-03 14:32:21.8660,555,2019-02-03 14:32:21.8700,-118
2019-02-03 14:32:21.8740,-13.26,2019-02-03 14:32:21.8740,557,2019-02-03 14:32:21.8790,-117
2019-02-03 14:32:21.8830,-10.81,2019-02-03 14:32:21.8830,554,2019-02-03 14:32:21.8870,-116
2019-02-03 14:32:21.8910,-13.37,2019-02-03 14:32:21.8950,555,2019-02-03 14:32:21.8950,-115
2019-02-03 14:32:21.9000,-11.92,2019-02-03 14:32:21.9030,556,2019-02-03 14:32:21.9030,-114
2019-02-03 14:32:21.9070,-10.48,2019-02-03 14:32:21.9110,553,2019-02-03 14:32:21.9150,-113
2019-02-03 14:32:21.9200,-13.03,2019-02-03 14:32:21.9200,554,2019-02-03 14:32:21.9240,-112
2019-02-03 14:32:21.9280,-11.59,2019-02-03 14:32:21.9320,554,2019-02-03 14:32:21.9320,-111
2019-02-03 14:32:21.9360,-11.14,2019-02-03 14:32:21.9400,552,2019-02-03 14:32:21.9400,-110
2019-02-03 14:32:21.9440,-12.69,2019-02-03 14:32:21.9490,553,2019-02-03 14:32:21.9520,-109
2019-02-03 14:32:21.9560,-11.25,2019-02-03 14:32:21.9560,553,2019-02-03 14:32:21.9610,-108
2019-02-03 14:32:21.9650,-10.8,2019-02-03 14:32:21.9650,551,2019-02-03 14:32:21.9690,-107
2019-02-03 14:32:21.9730,-12.36,2019-02-03 14:32:21.9770,553,2019-02-03 14:32:21.9770,-106
2019-02-03 14:32:21.9810,-9.91,2019-02-03 14:32:21.9870,551,2019-02-03 14:32:21.9870,-105
2019-02-03 14:32:21.9890,-11.47,2019-02-03 14:32:21.9930,551,2019-02-03 14:32:21.9970,-104
2019-02-03 14:32:22.0020,-11.02,2019-02-03 14:32:22.0020,552,2019-02-03 14:32:22.0060,-103
2019-02-03 14:32:22.0100,-9.58,2019-02-03 14:32:22.0140,550,2019-02-03 14:32:22.0140,-102
2019-02-03 14:32:22.0180,-11.13,2019-02-03 14:32:22.0220,551,2019-02-03 14:32:22.0220,-101
2019-02-03 14:32:22.0260,-9.68,2019-02-03 14:32:22.0300,549,2019-02-03 14:32:22.0300,-100
2019-02-03 14:32:22.0340,-11.24,2019-02-03 14:32:22.0390,550,2019-02-03 14:32:22.0430,-99
2019-02-03 14:32:22.0470,-9.79,2019-02-03 14:32:22.0470,549,2019-02-03 14:32:22.0510,-98
2019-02-03 14:32:22.0550,-10.35,2019-02-03 14:32:22.0590,550,2019-02-03 14:32:22.0590,-97
2019-02-03 14:32:22.0630,-8.9,2019-02-03 14:32:22.0670,548,2019-02-03 14:32:22.0670,-96
2019-02-03 14:32:22.0710,-10.46,2019-02-03 14:32:22.0750,549,2019-02-03 14:32:22.0750,-95
2019-02-03 14:32:22.0800,-9.01,2019-02-03 14:32:22.0840,547,2019-02-03 14:32:22.0880,-94
2019-02-03 14:32:22.0920,-10.56,2019-02-03 14:32:22.0920,549,2019-02-03 14:32:22.0960,-93
2019-02-03 14:32:22.1000,-8.12,2019-02-03 14:32:22.1000,547,2019-02-03 14:32:22.1040,-92
2019-02-03 14:32:22.1080,-9.67,2019-02-03 14:32:22.1120,547,2019-02-03 14:32:22.1120,-91
2019-02-03 14:32:22.1170,-9.23,2019-02-03 14:32:22.1210,547,2019-02-03 14:32:22.1210,-90
2019-02-03 14:32:22.1250,-8.78,2019-02-03 14:32:22.1290,545,2019-02-03 14:32:22.1330,-89
2019-02-03 14:32:22.1370,-10.34,2019-02-03 14:32:22.1370,547,2019-02-03 14:32:22.1410,-88
2019-02-03 14:32:22.1450,-7.89,2019-02-03 14:32:22.1450,545,2019-02-03 14:32:22.1500,-87
2019-02-03 14:32:22.1530,-9.45,2019-02-03 14:32:22.1580,546,2019-02-03 14:32:22.1580,-86
2019-02-03 14:32:22.1610,-8,2019-02-03 14:32:22.1660,546,2019-02-03 14:32:22.1660,-85
2019-02-03 14:32:22.1700,-7.55,2019-02-03 14:32:22.1740,544,2019-02-03 14:32:22.1740,-84
2019-02-03 14:32:22.1780,-9.11,2019-02-03 14:32:22.1820,546,2019-02-03 14:32:22.1860,-83
2019-02-03 14:32:22.1900,-6.66,2019-02-03 14:32:22.1900,544,2019-02-03 14:32:22.1940,-82
2019-02-03 14:32:22.1980,-8.22,2019-02-03 14:32:22.1980,544,2019-02-03 14:32:22.2020,-81
2019-02-03 14:32:22.2060,-7.77,2019-02-03 14:32:22.2100,545,2019-02-03 14:32:22.2110,-80
2019-02-03 14:32:22.2140,-6.33,2019-02-03 14:32:22.2190,543,2019-02-03 14:32:22.2190,-79
2019-02-03 14:32:22.2230,-7.88,2019-02-03 14:32:22.2270,544,2019-02-03 14:32:22.2310,-78
2019-02-03 14:32:22.2310,-6.44,2019-02-03 14:32:22.2350,543,2019-02-03 14:32:22.2390,-77
2019-02-03 14:32:22.2430,-6.99,2019-02-03 14:32:22.2430,542,2019-02-03 14:32:22.2480,-76
2019-02-03 14:32:22.2510,-7.54,2019-02-03 14:32:22.2550,543,2019-02-03 14:32:22.2560,-75
2019-02-03 14:32:22.2600,-6.1,2019-02-03 14:32:22.2640,542,2019-02-03 14:32:22.2640,-74
2019-02-03 14:32:22.2680,-6.65,2019-02-03 14:32:22.2720,541,2019-02-03 14:32:22.2720,-73
2019-02-03 14:32:22.2760,-7.21,2019-02-03 14:32:22.2800,542,2019-02-03 14:32:22.2840,-72
2019-02-03 14:32:22.2880,-5.76,2019-02-03 14:32:22.2880,540,2019-02-03 14:32:22.2920,-71
2019-02-03 14:32:22.2960,-7.32,2019-02-03 14:32:22.2960,542,2019-02-03 14:32:22.3000,-70
2019-02-03 14:32:22.3040,-4.87,2019-02-03 14:32:22.3090,541,2019-02-03 14:32:22.3090,-69
2019-02-03 14:32:22.3130,-5.42,2019-02-03 14:32:22.3170,539,2019-02-03 14:32:22.3170,-68
2019-02-03 14:32:22.3210,-6.98,2019-02-03 14:32:22.3250,541,2019-02-03 14:32:22.3290,-67
2019-02-03 14:32:22.3290,-4.53,2019-02-03 14:32:22.3330,539,2019-02-03 14:32:22.3370,-66
2019-02-03 14:32:22.3420,-6.09,2019-02-03 14:32:22.3420,539,2019-02-03 14:32:22.3460,-65
2019-02-03 14:32:22.3500,-5.64,2019-02-03 14:32:22.3540,540,2019-02-03 14:32:22.3540,-64
2019-02-03 14:32:22.3580,-4.2,2019-02-03 14:32:22.3630,538,2019-02-03 14:32:22.3630,-63
2019-02-03 14:32:22.3670,-5.75,2019-02-03 14:32:22.3710,539,2019-02-03 14:32:22.3710,-62
2019-02-03 14:32:22.3750,-4.31,2019-02-03 14:32:22.3790,538,2019-02-03 14:32:22.3830,-61
2019-02-03 14:32:22.3870,-4.86,2019-02-03 14:32:22.3870,537,2019-02-03 14:32:22.3910,-60
2019-02-03 14:32:22.3950,-5.41,2019-02-03 14:32:22.3950,538,2019-02-03 14:32:22.3990,-59
2019-02-03 14:32:22.4030,-3.97,2019-02-03 14:32:22.4070,537,2019-02-03 14:32:22.4070,-58
2019-02-03 14:32:22.4110,-4.52,2019-02-03 14:32:22.4150,537,2019-02-03 14:32:22.4150,-57
2019-02-03 14:32:22.4190,-4.08,2019-02-03 14:32:22.4240,537,2019-02-03 14:32:22.4240,-56
2019-02-03 14:32:22.4280,-3.63,2019-02-03 14:32:22.4320,535,2019-02-03 14:32:22.4360,-55
2019-02-03 14:32:22.4400,-5.19,2019-02-03 14:32:22.4400,537,2019-02-03 14:32:22.4440,-54
2019-02-03 14:32:22.4480,-2.74,2019-02-03 14:32:22.4520,535,2019-02-03 14:32:22.4520,-53
2019-02-03 14:32:22.4560,-4.3,2019-02-03 14:32:22.4600,537,2019-02-03 14:32:22.4600,-52
2019-02-03 14:32:22.4640,-1.85,2019-02-03 14:32:22.4690,535,2019-02-03 14:32:22.4690,-51
2019-02-03 14:32:22.4730,-3.4,2019-02-03 14:32:22.4770,534,2019-02-03 14:32:22.4810,-50
2019-02-03 14:32:22.4850,-3.96,2019-02-03 14:32:22.4850,535,2019-02-03 14:32:22.4890,-49
2019-02-03 14:32:22.4940,-2.51,2019-02-03 14:32:22.4940,534,2019-02-03 14:32:22.4980,-48
2019-02-03 14:32:22.5010,-3.07,2019-02-03 14:32:22.5060,533,2019-02-03 14:32:22.5060,-47
2019-02-03 14:32:22.5100,-3.62,2019-02-03 14:32:22.5140,534,2019-02-03 14:32:22.5140,-46
2019-02-03 14:32:22.5180,-2.18,2019-02-03 14:32:22.5220,533,2019-02-03 14:32:22.5220,-45
2019-02-03 14:32:22.5260,-2.73,2019-02-03 14:32:22.5300,532,2019-02-03 14:32:22.5340,-44
2019-02-03 14:32:22.5390,-3.28,2019-02-03 14:32:22.5390,533,2019-02-03 14:32:22.5430,-43
2019-02-03 14:32:22.5470,-1.84,2019-02-03 14:32:22.5470,532,2019-02-03 14:32:22.5510,-42
2019-02-03 14:32:22.5550,-2.39,2019-02-03 14:32:22.5590,532,2019-02-03 14:32:22.5600,-41
2019-02-03 14:32:22.5630,-1.95,2019-02-03 14:32:22.5680,531,2019-02-03 14:32:22.5680,-40
2019-02-03 14:32:22.5720,-2.5,2019-02-03 14:32:22.5760,531,2019-02-03 14:32:22.5800,-39
2019-02-03 14:32:22.5840,-2.06,2019-02-03 14:32:22.5840,531,2019-02-03 14:32:22.5880,-38
2019-02-03 14:32:22.5920,-1.61,2019-02-03 14:32:22.5920,530,2019-02-03 14:32:22.5960,-37
