HallSensor,,i,,ElectromagnetRemoved,
2019-02-03 14:56:24.9590,497,2019-02-03 14:56:24.9600,245,2019-02-03 14:56:24.9640,52.28
2019-02-03 14:56:24.9680,491,2019-02-03 14:56:24.9760,255,2019-02-03 14:56:24.9720,49.28
2019-02-03 14:56:24.9760,487,2019-02-03 14:56:24.9840,235,2019-02-03 14:56:24.9800,39.29
2019-02-03 14:56:24.9840,482,2019-02-03 14:56:24.9920,215,2019-02-03 14:56:24.9880,28.3
2019-02-03 14:56:24.9960,479,2019-02-03 14:56:25.0000,195,2019-02-03 14:56:25.0000,19.31
2019-02-03 14:56:25.0040,479,2019-02-03 14:56:25.0090,175,2019-02-03 14:56:25.0080,13.32
2019-02-03 14:56:25.0130,475,2019-02-03 14:56:25.0170,155,2019-02-03 14:56:25.0170,3.34
2019-02-03 14:56:25.0210,475,2019-02-03 14:56:25.0290,135,2019-02-03 14:56:25.0250,-2.65
2019-02-03 14:56:25.0290,477,2019-02-03 14:56:25.0370,115,2019-02-03 14:56:25.0330,-6.64
2019-02-03 14:56:25.0410,476,2019-02-03 14:56:25.0450,95,2019-02-03 14:56:25.0450,-13.63
2019-02-03 14:56:25.0490,478,2019-02-03 14:56:25.0530,75,2019-02-03 14:56:25.0530,-17.62
2019-02-03 14:56:25.0570,480,2019-02-03 14:56:25.0620,55,2019-02-03 14:56:25.0620,-21.6
2019-02-03 14:56:25.0660,480,2019-02-03 14:56:25.0740,35,2019-02-03 14:56:25.0700,-27.59
2019-02-03 14:56:25.0740,485,2019-02-03 14:56:25.0820,15,2019-02-03 14:56:25.0780,-28.58
2019-02-03 14:56:25.0820,509,2019-02-03 14:56:25.0900,-5,2019-02-03 14:56:25.0860,-10.57
2019-02-03 14:56:25.0940,540,2019-02-03 14:56:25.0990,-25,2019-02-03 14:56:25.0980,14.44
2019-02-03 14:56:25.1030,540,2019-02-03 14:56:25.1070,-45,2019-02-03 14:56:25.1070,8.46
2019-02-03 14:56:25.1110,539,2019-02-03 14:56:25.1150,-65,2019-02-03 14:56:25.1150,1.47
2019-02-03 14:56:25.1190,534,2019-02-03 14:56:25.1270,-85,2019-02-03 14:56:25.1230,-9.52
2019-02-03 14:56:25.1270,529,2019-02-03 14:56:25.1350,-105,2019-02-03 14:56:25.1310,-20.51
2019-02-03 14:56:25.1400,525,2019-02-03 14:56:25.1440,-125,2019-02-03 14:56:25.1400,-30.5
2019-02-03 14:56:25.1480,520,2019-02-03 14:56:25.1520,-145,2019-02-03 14:56:25.1520,-41.48
2019-02-03 14:56:25.1560,521,2019-02-03 14:56:25.1600,-165,2019-02-03 14:56:25.1600,-46.47
2019-02-03 14:56:25.1660,525,2019-02-03 14:56:25.1720,-185,2019-02-03 14:56:25.1680,-48.46
2019-02-03 14:56:25.1720,530,2019-02-03 14:56:25.1810,-205,2019-02-03 14:56:25.1760,-49.45
2019-02-03 14:56:25.1850,534,2019-02-03 14:56:25.1890,-225,2019-02-03 14:56:25.1890,-51.44
2019-02-03 14:56:25.1930,540,2019-02-03 14:56:25.1970,-245,2019-02-03 14:56:25.1970,-51.42
2019-02-03 14:56:25.2010,545,2019-02-03 14:56:25.2060,-255,2019-02-03 14:56:25.2100,-49.42
2019-02-03 14:56:25.2100,549,2019-02-03 14:56:25.2140,-235,2019-02-03 14:56:25.2180,-39.43
2019-02-03 14:56:25.2220,554,2019-02-03 14:56:25.2220,-215,2019-02-03 14:56:25.2260,-28.44
2019-02-03 14:56:25.2310,555,2019-02-03 14:56:25.2310,-195,2019-02-03 14:56:25.2350,-21.45
2019-02-03 14:56:25.2390,558,2019-02-03 14:56:25.2430,-175,2019-02-03 14:56:25.2430,-12.47
2019-02-03 14:56:25.2470,560,2019-02-03 14:56:25.2510,-155,2019-02-03 14:56:25.2550,-4.48
2019-02-03 14:56:25.2550,559,2019-02-03 14:56:25.2590,-135,2019-02-03 14:56:25.2630,0.51
2019-02-03 14:56:25.2670,560,2019-02-03 14:56:25.2670,-115,2019-02-03 14:56:25.2710,7.5
2019-02-03 14:56:25.2760,559,2019-02-03 14:56:25.2760,-95,2019-02-03 14:56:25.2800,12.49
2019-02-03 14:56:25.2840,556,2019-02-03 14:56:25.2840,-75,2019-02-03 14:56:25.2880,15.47
2019-02-03 14:56:25.2920,557,2019-02-03 14:56:25.2960,-55,2019-02-03 14:56:25.3000,22.46
2019-02-03 14:56:25.3000,554,2019-02-03 14:56:25.3040,-35,2019-02-03 14:56:25.3080,25.45
2019-02-03 14:56:25.3090,551,2019-02-03 14:56:25.3120,-15,2019-02-03 14:56:25.3170,28.44
2019-02-03 14:56:25.3210,525,2019-02-03 14:56:25.3210,5,2019-02-03 14:56:25.3250,8.43
2019-02-03 14:56:25.3290,495,2019-02-03 14:56:25.3290,25,2019-02-03 14:56:25.3330,-15.59
2019-02-03 14:56:25.3370,496,2019-02-03 14:56:25.3370,45,2019-02-03 14:56:25.3410,-8.6
2019-02-03 14:56:25.3450,498,2019-02-03 14:56:25.3490,65,2019-02-03 14:56:25.3530,-0.61
2019-02-03 14:56:25.3530,501,2019-02-03 14:56:25.3570,85,2019-02-03 14:56:25.3610,8.38
2019-02-03 14:56:25.3620,506,2019-02-03 14:56:25.3660,105,2019-02-03 14:56:25.3700,19.37
2019-02-03 14:56:25.3740,511,2019-02-03 14:56:25.3740,125,2019-02-03 14:56:25.3780,30.35
2019-02-03 14:56:25.3820,515,2019-02-03 14:56:25.3820,145,2019-02-03 14:56:25.3860,40.34
2019-02-03 14:56:25.3900,515,2019-02-03 14:56:25.3900,165,2019-02-03 14:56:25.3940,46.33
2019-02-03 14:56:25.3980,511,2019-02-03 14:56:25.4020,185,2019-02-03 14:56:25.4060,48.32
2019-02-03 14:56:25.4070,506,2019-02-03 14:56:25.4110,205,2019-02-03 14:56:25.4150,49.31
2019-02-03 14:56:25.4150,502,2019-02-03 14:56:25.4190,225,2019-02-03 14:56:25.4230,51.29
2019-02-03 14:56:25.4270,496,2019-02-03 14:56:25.4270,245,2019-02-03 14:56:25.4310,51.28
2019-02-03 14:56:25.4350,491,2019-02-03 14:56:25.4400,255,2019-02-03 14:56:25.4400,49.28
2019-02-03 14:56:25.4440,488,2019-02-03 14:56:25.4480,235,2019-02-03 14:56:25.4480,40.29
2019-02-03 14:56:25.4520,482,2019-02-03 14:56:25.4600,215,2019-02-03 14:56:25.4560,28.3
2019-02-03 14:56:25.4600,479,2019-02-03 14:56:25.4680,195,2019-02-03 14:56:25.4640,19.31
2019-02-03 14:56:25.4720,479,2019-02-03 14:56:25.4770,175,2019-02-03 14:56:25.4760,13.32
2019-02-03 14:56:25.4810,475,2019-02-03 14:56:25.4850,155,2019-02-03 14:56:25.4850,3.34
2019-02-03 14:56:25.4890,475,2019-02-03 14:56:25.4930,135,2019-02-03 14:56:25.4930,-2.65
2019-02-03 14:56:25.4970,477,2019-02-03 14:56:25.5050,115,2019-02-03 14:56:25.5010,-6.64
2019-02-03 14:56:25.5050,476,2019-02-03 14:56:25.5130,95,2019-02-03 14:56:25.5090,-13.63
2019-02-03 14:56:25.5130,478,2019-02-03 14:56:25.5220,75,2019-02-03 14:56:25.5180,-17.62
2019-02-03 14:56:25.5260,480,2019-02-03 14:56:25.5300,55,2019-02-03 14:56:25.5300,-21.6
2019-02-03 14:56:25.5340,480,2019-02-03 14:56:25.5380,35,2019-02-03 14:56:25.5380,-27.59
2019-02-03 14:56:25.5420,485,2019-02-03 14:56:25.5460,15,2019-02-03 14:56:25.5460,-28.58
2019-02-03 14:56:25.5500,509,2019-02-03 14:56:25.5580,-5,2019-02-03 14:56:25.5540,-10.57
2019-02-03 14:56:25.5580,539,2019-02-03 14:56:25.5660,-25,2019-02-03 14:56:25.5630,13.44
2019-02-03 14:56:25.5700,539,2019-02-03 14:56:25.5750,-45,2019-02-03 14:56:25.5710,7.46
2019-02-03 14:56:25.5790,539,2019-02-03 14:56:25.5830,-65,2019-02-03 14:56:25.5830,1.47
2019-02-03 14:56:25.5870,534,2019-02-03 14:56:25.5910,-85,2019-02-03 14:56:25.5910,-9.52
2019-02-03 14:56:25.5950,529,2019-02-03 14:56:25.6030,-105,2019-02-03 14:56:25.5990,-20.51
2019-02-03 14:56:25.6030,525,2019-02-03 14:56:25.6110,-125,2019-02-03 14:56:25.6070,-30.5
2019-02-03 14:56:25.6110,520,2019-02-03 14:56:25.6190,-145,2019-02-03 14:56:25.6160,-41.48
2019-02-03 14:56:25.6240,520,2019-02-03 14:56:25.6280,-165,2019-02-03 14:56:25.6280,-47.47
2019-02-03 14:56:25.6320,525,2019-02-03 14:56:25.6360,-185,2019-02-03 14:56:25.6360,-48.46
2019-02-03 14:56:25.6400,530,2019-02-03 14:56:25.6480,-205,2019-02-03 14:56:25.6440,-49.45
2019-02-03 14:56:25.6480,533,2019-02-03 14:56:25.6570,-225,2019-02-03 14:56:25.6530,-52.44
2019-02-03 14:56:25.6610,539,2019-02-03 14:56:25.6650,-245,2019-02-03 14:56:25.6650,-52.42
2019-02-03 14:56:25.6690,545,2019-02-03 14:56:25.6690,-255,2019-02-03 14:56:25.6730,-49.42
2019-02-03 14:56:25.6770,549,2019-02-03 14:56:25.6810,-235,2019-02-03 14:56:25.6850,-39.43
2019-02-03 14:56:25.6850,554,2019-02-03 14:56:25.6900,-215,2019-02-03 14:56:25.6940,-28.44
