i,,ElectromagnetRemoved,,HallSensor,
2019-02-03 15:02:34.6230,0,2019-02-03 15:02:34.6270,-1.07,2019-02-03 15:02:34.6270,514
2019-02-03 15:02:34.6350,255,2019-02-03 15:02:34.6310,72.28,2019-02-03 15:02:34.6390,514
2019-02-03 15:02:34.6430,0,2019-02-03 15:02:34.6390,-4.07,2019-02-03 15:02:34.6470,518
2019-02-03 15:02:34.6480,-255,2019-02-03 15:02:34.6510,-76.42,2019-02-03 15:02:34.6550,517
2019-02-03 15:02:34.6550,0,2019-02-03 15:02:34.6590,-1.07,2019-02-03 15:02:34.6640,514
2019-02-03 15:02:34.6680,255,2019-02-03 15:02:34.6680,72.28,2019-02-03 15:02:34.6720,514
2019-02-03 15:02:34.6800,0,2019-02-03 15:02:34.6760,-4.07,2019-02-03 15:02:34.6800,517
2019-02-03 15:02:34.6840,-255,2019-02-03 15:02:34.6880,-77.42,2019-02-03 15:02:34.6920,517
2019-02-03 15:02:34.6920,0,2019-02-03 15:02:34.6960,-1.07,2019-02-03 15:02:34.7000,514
2019-02-03 15:02:34.7040,255,2019-02-03 15:02:34.7040,72.28,2019-02-03 15:02:34.7080,514
2019-02-03 15:02:34.7130,0,2019-02-03 15:02:34.7130,-4.07,2019-02-03 15:02:34.7170,518
2019-02-03 15:02:34.7210,-255,2019-02-03 15:02:34.7250,-76.42,2019-02-03 15:02:34.7250,517
2019-02-03 15:02:34.7290,0,2019-02-03 15:02:34.7330,-1.07,2019-02-03 15:02:34.7330,514
2019-02-03 15:02:34.7410,255,2019-02-03 15:02:34.7370,72.28,2019-02-03 15:02:34.7450,514
2019-02-03 15:02:34.7490,0,2019-02-03 15:02:34.7490,-4.07,2019-02-03 15:02:34.7530,518
2019-02-03 15:02:34.7540,-255,2019-02-03 15:02:34.7580,-76.42,2019-02-03 15:02:34.7620,517
2019-02-03 15:02:34.7620,0,2019-02-03 15:02:34.7660,-1.07,2019-02-03 15:02:34.7700,514
2019-02-03 15:02:34.7780,255,2019-02-03 15:02:34.7740,72.28,2019-02-03 15:02:34.7780,514
2019-02-03 15:02:34.7860,0,2019-02-03 15:02:34.7820,-4.07,2019-02-03 15:02:34.7860,517
2019-02-03 15:02:34.7900,-255,2019-02-03 15:02:34.7950,-77.42,2019-02-03 15:02:34.7990,517
2019-02-03 15:02:34.7990,0,2019-02-03 15:02:34.8030,-1.07,2019-02-03 15:02:34.8070,513
2019-02-03 15:02:34.8100,255,2019-02-03 15:02:34.8100,71.28,2019-02-03 15:02:34.8140,514
2019-02-03 15:02:34.8180,0,2019-02-03 15:02:34.8180,-4.07,2019-02-03 15:02:34.8220,518
2019-02-03 15:02:34.8260,-255,2019-02-03 15:02:34.8300,-76.42,2019-02-03 15:02:34.8300,517
2019-02-03 15:02:34.8350,0,2019-02-03 15:02:34.8390,-1.07,2019-02-03 15:02:34.8390,514
2019-02-03 15:02:34.8470,255,2019-02-03 15:02:34.8430,72.28,2019-02-03 15:02:34.8510,514
2019-02-03 15:02:34.8550,0,2019-02-03 15:02:34.8550,-4.07,2019-02-03 15:02:34.8600,518
2019-02-03 15:02:34.8600,-255,2019-02-03 15:02:34.8630,-76.42,2019-02-03 15:02:34.8680,517
2019-02-03 15:02:34.8680,0,2019-02-03 15:02:34.8720,-1.07,2019-02-03 15:02:34.8770,514
2019-02-03 15:02:34.8850,255,2019-02-03 15:02:34.8810,72.28,2019-02-03 15:02:34.8850,514
2019-02-03 15:02:34.8930,0,2019-02-03 15:02:34.8890,-4.07,2019-02-03 15:02:34.8930,518
2019-02-03 15:02:34.8970,-255,2019-02-03 15:02:34.9010,-76.42,2019-02-03 15:02:34.9050,517
2019-02-03 15:02:34.9050,0,2019-02-03 15:02:34.9090,-1.07,2019-02-03 15:02:34.9130,514
2019-02-03 15:02:34.9170,255,2019-02-03 15:02:34.9170,72.28,2019-02-03 15:02:34.9220,514
2019-02-03 15:02:34.9260,0,2019-02-03 15:02:34.9260,-4.07,2019-02-03 15:02:34.9300,517
2019-02-03 15:02:34.9340,-255,2019-02-03 15:02:34.9380,-77.42,2019-02-03 15:02:34.9380,517
2019-02-03 15:02:34.9420,0,2019-02-03 15:02:34.9460,-1.07,2019-02-03 15:02:34.9460,514
2019-02-03 15:02:34.9550,255,2019-02-03 15:02:34.9500,72.28,2019-02-03 15:02:34.9590,513
2019-02-03 15:02:34.9630,0,2019-02-03 15:02:34.9630,-5.07,2019-02-03 15:02:34.9670,518
2019-02-03 15:02:34.9670,-255,2019-02-03 15:02:34.9710,-76.42,2019-02-03 15:02:34.9750,517
2019-02-03 15:02:34.9750,0,2019-02-03 15:02:34.9790,-1.07,2019-02-03 15:02:34.9830,514
2019-02-03 15:02:34.9910,255,2019-02-03 15:02:34.9900,72.28,2019-02-03 15:02:34.9920,514
2019-02-03 15:02:34.9990,0,2019-02-03 15:02:34.9960,-4.07,2019-02-03 15:02:35.0000,518
2019-02-03 15:02:35.0040,-255,2019-02-03 15:02:35.0080,-76.42,2019-02-03 15:02:35.0120,517
2019-02-03 15:02:35.0120,0,2019-02-03 15:02:35.0160,-1.07,2019-02-03 15:02:35.0200,514
2019-02-03 15:02:35.0240,255,2019-02-03 15:02:35.0240,72.28,2019-02-03 15:02:35.0280,514
2019-02-03 15:02:35.0320,0,2019-02-03 15:02:35.0320,-4.07,2019-02-03 15:02:35.0360,517
2019-02-03 15:02:35.0400,-255,2019-02-03 15:02:35.0440,-77.42,2019-02-03 15:02:35.0440,517
2019-02-03 15:02:35.0480,0,2019-02-03 15:02:35.0520,-1.07,2019-02-03 15:02:35.0530,514
2019-02-03 15:02:35.0610,255,2019-02-03 15:02:35.0570,72.28,2019-02-03 15:02:35.0650,514
2019-02-03 15:02:35.0690,0,2019-02-03 15:02:35.0690,-4.07,2019-02-03 15:02:35.0730,517
2019-02-03 15:02:35.0730,-255,2019-02-03 15:02:35.0770,-77.42,2019-02-03 15:02:35.0810,517
2019-02-03 15:02:35.0810,0,2019-02-03 15:02:35.0850,-1.07,2019-02-03 15:02:35.0890,514
2019-02-03 15:02:35.0980,255,2019-02-03 15:02:35.0940,72.28,2019-02-03 15:02:35.0980,514
2019-02-03 15:02:35.1060,0,2019-02-03 15:02:35.1020,-4.07,2019-02-03 15:02:35.1060,518
2019-02-03 15:02:35.1100,-255,2019-02-03 15:02:35.1140,-76.42,2019-02-03 15:02:35.1180,517
2019-02-03 15:02:35.1180,0,2019-02-03 15:02:35.1220,-1.07,2019-02-03 15:02:35.1260,514
2019-02-03 15:02:35.1310,255,2019-02-03 15:02:35.1310,72.28,2019-02-03 15:02:35.1350,514
2019-02-03 15:02:35.1390,0,2019-02-03 15:02:35.1390,-4.07,2019-02-03 15:02:35.1430,518
2019-02-03 15:02:35.1470,-255,2019-02-03 15:02:35.1510,-76.42,2019-02-03 15:02:35.1510,517
2019-02-03 15:02:35.1550,0,2019-02-03 15:02:35.1590,-1.07,2019-02-03 15:02:35.1640,514
2019-02-03 15:02:35.1680,255,2019-02-03 15:02:35.1640,72.28,2019-02-03 15:02:35.1720,514
2019-02-03 15:02:35.1760,0,2019-02-03 15:02:35.1760,-4.07,2019-02-03 15:02:35.1790,518
2019-02-03 15:02:35.1790,-255,2019-02-03 15:02:35.1840,-76.42,2019-02-03 15:02:35.1870,517
2019-02-03 15:02:35.1910,0,2019-02-03 15:02:35.1910,-1.07,2019-02-03 15:02:35.1950,514
2019-02-03 15:02:35.2040,255,2019-02-03 15:02:35.1990,72.28,2019-02-03 15:02:35.2040,514
2019-02-03 15:02:35.2120,0,2019-02-03 15:02:35.2080,-4.07,2019-02-03 15:02:35.2160,517
2019-02-03 15:02:35.2160,-255,2019-02-03 15:02:35.2200,-77.42,2019-02-03 15:02:35.2240,517
2019-02-03 15:02:35.2240,0,2019-02-03 15:02:35.2280,-1.07,2019-02-03 15:02:35.2320,514
2019-02-03 15:02:35.2360,255,2019-02-03 15:02:35.2360,72.28,2019-02-03 15:02:35.2400,514
2019-02-03 15:02:35.2440,0,2019-02-03 15:02:35.2440,-4.07,2019-02-03 15:02:35.2480,518
2019-02-03 15:02:35.2520,-255,2019-02-03 15:02:35.2560,-76.42,2019-02-03 15:02:35.2560,516
2019-02-03 15:02:35.2610,0,2019-02-03 15:02:35.2650,-2.07,2019-02-03 15:02:35.2690,513
2019-02-03 15:02:35.2730,255,2019-02-03 15:02:35.2690,71.28,2019-02-03 15:02:35.2770,514
