ElectromagnetRemoved,,i,,HallSensor,
2019-02-03 14:58:47.1220,49.3,2019-02-03 14:58:47.1220,215,2019-02-03 14:58:47.1260,498
2019-02-03 14:58:47.1310,32.32,2019-02-03 14:58:47.1350,175,2019-02-03 14:58:47.1350,495
2019-02-03 14:58:47.1390,17.35,2019-02-03 14:58:47.1430,135,2019-02-03 14:58:47.1430,492
2019-02-03 14:58:47.1470,2.37,2019-02-03 14:58:47.1510,95,2019-02-03 14:58:47.1550,492
2019-02-03 14:58:47.1590,-9.6,2019-02-03 14:58:47.1590,55,2019-02-03 14:58:47.1630,493
2019-02-03 14:58:47.1670,-20.58,2019-02-03 14:58:47.1670,15,2019-02-03 14:58:47.1720,514
2019-02-03 14:58:47.1760,-11.56,2019-02-03 14:58:47.1760,-25,2019-02-03 14:58:47.1800,534
2019-02-03 14:58:47.1840,-3.53,2019-02-03 14:58:47.1880,-65,2019-02-03 14:58:47.1880,533
2019-02-03 14:58:47.1920,-16.51,2019-02-03 14:58:47.1960,-105,2019-02-03 14:58:47.1960,528
2019-02-03 14:58:47.2000,-33.48,2019-02-03 14:58:47.2040,-145,2019-02-03 14:58:47.2080,523
2019-02-03 14:58:47.2120,-50.46,2019-02-03 14:58:47.2130,-185,2019-02-03 14:58:47.2170,520
2019-02-03 14:58:47.2210,-65.44,2019-02-03 14:58:47.2210,-225,2019-02-03 14:58:47.2250,525
2019-02-03 14:58:47.2330,-69.42,2019-02-03 14:58:47.2290,-255,2019-02-03 14:58:47.2330,532
2019-02-03 14:58:47.2410,-50.44,2019-02-03 14:58:47.2370,-215,2019-02-03 14:58:47.2450,536
2019-02-03 14:58:47.2490,-34.47,2019-02-03 14:58:47.2450,-175,2019-02-03 14:58:47.2530,540
2019-02-03 14:58:47.2570,-18.49,2019-02-03 14:58:47.2530,-135,2019-02-03 14:58:47.2620,544
2019-02-03 14:58:47.2700,-2.51,2019-02-03 14:58:47.2660,-95,2019-02-03 14:58:47.2700,543
2019-02-03 14:58:47.2780,8.46,2019-02-03 14:58:47.2740,-55,2019-02-03 14:58:47.2780,541
2019-02-03 14:58:47.2860,18.44,2019-02-03 14:58:47.2820,-15,2019-02-03 14:58:47.2900,520
2019-02-03 14:58:47.2940,9.41,2019-02-03 14:58:47.2900,25,2019-02-03 14:58:47.2990,501
2019-02-03 14:58:47.3030,2.39,2019-02-03 14:58:47.2990,65,2019-02-03 14:58:47.3070,502
2019-02-03 14:58:47.3110,15.37,2019-02-03 14:58:47.3070,105,2019-02-03 14:58:47.3150,507
2019-02-03 14:58:47.3190,32.34,2019-02-03 14:58:47.3190,145,2019-02-03 14:58:47.3230,512
2019-02-03 14:58:47.3310,49.32,2019-02-03 14:58:47.3270,185,2019-02-03 14:58:47.3310,515
2019-02-03 14:58:47.3400,64.29,2019-02-03 14:58:47.3360,225,2019-02-03 14:58:47.3440,510
2019-02-03 14:58:47.3480,68.28,2019-02-03 14:58:47.3480,255,2019-02-03 14:58:47.3520,503
2019-02-03 14:58:47.3560,49.3,2019-02-03 14:58:47.3560,215,2019-02-03 14:58:47.3600,499
2019-02-03 14:58:47.3640,33.32,2019-02-03 14:58:47.3640,175,2019-02-03 14:58:47.3680,494
2019-02-03 14:58:47.3720,16.35,2019-02-03 14:58:47.3760,135,2019-02-03 14:58:47.3760,493
2019-02-03 14:58:47.3800,3.37,2019-02-03 14:58:47.3850,95,2019-02-03 14:58:47.3850,492
2019-02-03 14:58:47.3890,-9.6,2019-02-03 14:58:47.3930,55,2019-02-03 14:58:47.3970,494
2019-02-03 14:58:47.4010,-19.58,2019-02-03 14:58:47.4010,15,2019-02-03 14:58:47.4050,515
2019-02-03 14:58:47.4090,-10.56,2019-02-03 14:58:47.4090,-25,2019-02-03 14:58:47.4130,533
2019-02-03 14:58:47.4170,-4.53,2019-02-03 14:58:47.4170,-65,2019-02-03 14:58:47.4210,534
2019-02-03 14:58:47.4260,-15.51,2019-02-03 14:58:47.4300,-105,2019-02-03 14:58:47.4300,528
2019-02-03 14:58:47.4340,-33.48,2019-02-03 14:58:47.4380,-145,2019-02-03 14:58:47.4420,523
2019-02-03 14:58:47.4460,-50.46,2019-02-03 14:58:47.4460,-185,2019-02-03 14:58:47.4500,520
2019-02-03 14:58:47.4540,-65.44,2019-02-03 14:58:47.4540,-225,2019-02-03 14:58:47.4580,525
2019-02-03 14:58:47.4670,-69.42,2019-02-03 14:58:47.4620,-255,2019-02-03 14:58:47.4670,532
2019-02-03 14:58:47.4750,-50.44,2019-02-03 14:58:47.4710,-215,2019-02-03 14:58:47.4750,537
2019-02-03 14:58:47.4830,-33.47,2019-02-03 14:58:47.4790,-175,2019-02-03 14:58:47.4870,540
2019-02-03 14:58:47.4910,-18.49,2019-02-03 14:58:47.4870,-135,2019-02-03 14:58:47.4950,543
2019-02-03 14:58:47.4990,-3.51,2019-02-03 14:58:47.4950,-95,2019-02-03 14:58:47.5030,542
2019-02-03 14:58:47.5120,7.46,2019-02-03 14:58:47.5080,-55,2019-02-03 14:58:47.5120,542
2019-02-03 14:58:47.5200,19.44,2019-02-03 14:58:47.5160,-15,2019-02-03 14:58:47.5200,520
2019-02-03 14:58:47.5280,9.41,2019-02-03 14:58:47.5240,25,2019-02-03 14:58:47.5320,501
2019-02-03 14:58:47.5360,2.39,2019-02-03 14:58:47.5320,65,2019-02-03 14:58:47.5400,502
2019-02-03 14:58:47.5440,15.37,2019-02-03 14:58:47.5400,105,2019-02-03 14:58:47.5490,507
2019-02-03 14:58:47.5530,32.34,2019-02-03 14:58:47.5490,145,2019-02-03 14:58:47.5570,512
2019-02-03 14:58:47.5650,49.32,2019-02-03 14:58:47.5610,185,2019-02-03 14:58:47.5650,515
2019-02-03 14:58:47.5730,64.29,2019-02-03 14:58:47.5690,225,2019-02-03 14:58:47.5730,509
2019-02-03 14:58:47.5770,67.28,2019-02-03 14:58:47.5810,255,2019-02-03 14:58:47.5850,503
2019-02-03 14:58:47.5900,49.3,2019-02-03 14:58:47.5900,215,2019-02-03 14:58:47.5940,499
2019-02-03 14:58:47.5980,33.32,2019-02-03 14:58:47.5980,175,2019-02-03 14:58:47.6020,493
2019-02-03 14:58:47.6060,15.35,2019-02-03 14:58:47.6060,135,2019-02-03 14:58:47.6100,493
2019-02-03 14:58:47.6140,3.37,2019-02-03 14:58:47.6180,95,2019-02-03 14:58:47.6180,493
2019-02-03 14:58:47.6220,-8.6,2019-02-03 14:58:47.6260,55,2019-02-03 14:58:47.6260,494
2019-02-03 14:58:47.6300,-19.58,2019-02-03 14:58:47.6350,15,2019-02-03 14:58:47.6390,515
2019-02-03 14:58:47.6430,-10.56,2019-02-03 14:58:47.6430,-25,2019-02-03 14:58:47.6470,533
2019-02-03 14:58:47.6510,-4.53,2019-02-03 14:58:47.6510,-65,2019-02-03 14:58:47.6550,533
2019-02-03 14:58:47.6590,-16.51,2019-02-03 14:58:47.6630,-105,2019-02-03 14:58:47.6630,528
2019-02-03 14:58:47.6670,-33.48,2019-02-03 14:58:47.6720,-145,2019-02-03 14:58:47.6720,523
2019-02-03 14:58:47.6760,-50.46,2019-02-03 14:58:47.6800,-185,2019-02-03 14:58:47.6840,520
2019-02-03 14:58:47.6880,-65.44,2019-02-03 14:58:47.6880,-225,2019-02-03 14:58:47.6920,526
2019-02-03 14:58:47.6960,-68.42,2019-02-03 14:58:47.6920,-255,2019-02-03 14:58:47.7000,532
2019-02-03 14:58:47.7080,-50.44,2019-02-03 14:58:47.7040,-215,2019-02-03 14:58:47.7080,538
2019-02-03 14:58:47.7170,-32.47,2019-02-03 14:58:47.7120,-175,2019-02-03 14:58:47.7210,540
2019-02-03 14:58:47.7250,-18.49,2019-02-03 14:58:47.7210,-135,2019-02-03 14:58:47.7290,543
2019-02-03 14:58:47.7330,-3.51,2019-02-03 14:58:47.7290,-95,2019-02-03 14:58:47.7370,542
2019-02-03 14:58:47.7410,7.46,2019-02-03 14:58:47.7370,-55,2019-02-03 14:58:47.7450,543
2019-02-03 14:58:47.7530,20.44,2019-02-03 14:58:47.7490,-15,2019-02-03 14:58:47.7540,520
2019-02-03 14:58:47.7620,9.41,2019-02-03 14:58:47.7570,25,2019-02-03 14:58:47.7620,501
2019-02-03 14:58:47.7700,2.39,2019-02-03 14:58:47.7660,65,2019-02-03 14:58:47.7740,502
2019-02-03 14:58:47.7780,15.37,2019-02-03 14:58:47.7740,105,2019-02-03 14:58:47.7820,506
2019-02-03 14:58:47.7860,31.34,2019-02-03 14:58:47.7820,145,2019-02-03 14:58:47.7900,512
2019-02-03 14:58:47.7940,49.32,2019-02-03 14:58:47.7900,185,2019-02-03 14:58:47.7990,515
2019-02-03 14:58:47.8070,64.29,2019-02-03 14:58:47.8030,225,2019-02-03 14:58:47.8070,509
2019-02-03 14:58:47.8110,67.28,2019-02-03 14:58:47.8150,255,2019-02-03 14:58:47.8150,503
2019-02-03 14:58:47.8190,49.3,2019-02-03 14:58:47.8230,215,2019-02-03 14:58:47.8270,499
