HallSensor,,ElectromagnetRemoved,,i,
2019-02-03 15:00:50.5140,518,2019-02-03 15:00:50.5180,-19.53,2019-02-03 15:00:50.5180,-65
2019-02-03 15:00:50.5220,526,2019-02-03 15:00:50.5260,-35.48,2019-02-03 15:00:50.5300,-145
2019-02-03 15:00:50.5300,523,2019-02-03 15:00:50.5340,-62.44,2019-02-03 15:00:50.5380,-225
2019-02-03 15:00:50.5380,521,2019-02-03 15:00:50.5460,-73.42,2019-02-03 15:00:50.5420,-255
2019-02-03 15:00:50.5500,526,2019-02-03 15:00:50.5540,-44.47,2019-02-03 15:00:50.5510,-175
2019-02-03 15:00:50.5590,531,2019-02-03 15:00:50.5630,-15.51,2019-02-03 15:00:50.5590,-95
2019-02-03 15:00:50.5670,533,2019-02-03 15:00:50.5750,10.44,2019-02-03 15:00:50.5710,-15
2019-02-03 15:00:50.5750,517,2019-02-03 15:00:50.5830,18.39,2019-02-03 15:00:50.5790,65
2019-02-03 15:00:50.5830,509,2019-02-03 15:00:50.5910,34.34,2019-02-03 15:00:50.5870,145
2019-02-03 15:00:50.5950,512,2019-02-03 15:00:50.6000,61.29,2019-02-03 15:00:50.5950,225
2019-02-03 15:00:50.6040,514,2019-02-03 15:00:50.6080,72.28,2019-02-03 15:00:50.6080,255
2019-02-03 15:00:50.6120,509,2019-02-03 15:00:50.6160,43.32,2019-02-03 15:00:50.6160,175
2019-02-03 15:00:50.6200,503,2019-02-03 15:00:50.6250,13.37,2019-02-03 15:00:50.6280,95
2019-02-03 15:00:50.6280,502,2019-02-03 15:00:50.6320,-11.58,2019-02-03 15:00:50.6370,15
2019-02-03 15:00:50.6410,518,2019-02-03 15:00:50.6410,-19.53,2019-02-03 15:00:50.6450,-65
2019-02-03 15:00:50.6490,527,2019-02-03 15:00:50.6530,-34.48,2019-02-03 15:00:50.6530,-145
2019-02-03 15:00:50.6570,523,2019-02-03 15:00:50.6610,-62.44,2019-02-03 15:00:50.6610,-225
2019-02-03 15:00:50.6650,521,2019-02-03 15:00:50.6730,-73.42,2019-02-03 15:00:50.6690,-255
2019-02-03 15:00:50.6730,527,2019-02-03 15:00:50.6820,-43.47,2019-02-03 15:00:50.6770,-175
2019-02-03 15:00:50.6860,530,2019-02-03 15:00:50.6900,-16.51,2019-02-03 15:00:50.6860,-95
2019-02-03 15:00:50.6940,533,2019-02-03 15:00:50.6980,10.44,2019-02-03 15:00:50.6940,-15
2019-02-03 15:00:50.7020,517,2019-02-03 15:00:50.7060,18.39,2019-02-03 15:00:50.7020,65
2019-02-03 15:00:50.7100,508,2019-02-03 15:00:50.7180,33.34,2019-02-03 15:00:50.7140,145
2019-02-03 15:00:50.7210,512,2019-02-03 15:00:50.7270,61.29,2019-02-03 15:00:50.7220,225
2019-02-03 15:00:50.7270,515,2019-02-03 15:00:50.7310,73.28,2019-02-03 15:00:50.7350,255
2019-02-03 15:00:50.7390,508,2019-02-03 15:00:50.7430,42.32,2019-02-03 15:00:50.7430,175
2019-02-03 15:00:50.7470,504,2019-02-03 15:00:50.7510,14.37,2019-02-03 15:00:50.7510,95
2019-02-03 15:00:50.7550,503,2019-02-03 15:00:50.7590,-10.58,2019-02-03 15:00:50.7590,15
2019-02-03 15:00:50.7630,518,2019-02-03 15:00:50.7670,-19.53,2019-02-03 15:00:50.7710,-65
2019-02-03 15:00:50.7710,526,2019-02-03 15:00:50.7750,-35.48,2019-02-03 15:00:50.7800,-145
2019-02-03 15:00:50.7840,523,2019-02-03 15:00:50.7880,-62.44,2019-02-03 15:00:50.7880,-225
2019-02-03 15:00:50.7920,521,2019-02-03 15:00:50.7960,-73.42,2019-02-03 15:00:50.7920,-255
2019-02-03 15:00:50.8000,526,2019-02-03 15:00:50.8080,-44.47,2019-02-03 15:00:50.8040,-175
2019-02-03 15:00:50.8080,532,2019-02-03 15:00:50.8160,-14.51,2019-02-03 15:00:50.8120,-95
2019-02-03 15:00:50.8170,532,2019-02-03 15:00:50.8250,9.44,2019-02-03 15:00:50.8210,-15
2019-02-03 15:00:50.8290,518,2019-02-03 15:00:50.8330,19.39,2019-02-03 15:00:50.8290,65
2019-02-03 15:00:50.8370,508,2019-02-03 15:00:50.8410,33.34,2019-02-03 15:00:50.8370,145
2019-02-03 15:00:50.8450,512,2019-02-03 15:00:50.8500,61.29,2019-02-03 15:00:50.8450,225
2019-02-03 15:00:50.8540,514,2019-02-03 15:00:50.8580,72.28,2019-02-03 15:00:50.8620,255
2019-02-03 15:00:50.8620,508,2019-02-03 15:00:50.8660,42.32,2019-02-03 15:00:50.8700,175
2019-02-03 15:00:50.8740,504,2019-02-03 15:00:50.8740,14.37,2019-02-03 15:00:50.8780,95
2019-02-03 15:00:50.8820,502,2019-02-03 15:00:50.8860,-11.58,2019-02-03 15:00:50.8860,15
2019-02-03 15:00:50.8900,518,2019-02-03 15:00:50.8950,-19.53,2019-02-03 15:00:50.8950,-65
2019-02-03 15:00:50.8990,526,2019-02-03 15:00:50.9030,-35.48,2019-02-03 15:00:50.9070,-145
2019-02-03 15:00:50.9070,523,2019-02-03 15:00:50.9110,-62.44,2019-02-03 15:00:50.9150,-225
2019-02-03 15:00:50.9190,520,2019-02-03 15:00:50.9230,-74.42,2019-02-03 15:00:50.9190,-255
2019-02-03 15:00:50.9270,526,2019-02-03 15:00:50.9310,-44.47,2019-02-03 15:00:50.9270,-175
2019-02-03 15:00:50.9350,531,2019-02-03 15:00:50.9390,-15.51,2019-02-03 15:00:50.9350,-95
2019-02-03 15:00:50.9430,533,2019-02-03 15:00:50.9520,10.44,2019-02-03 15:00:50.9470,-15
2019-02-03 15:00:50.9520,517,2019-02-03 15:00:50.9600,18.39,2019-02-03 15:00:50.9560,65
2019-02-03 15:00:50.9600,509,2019-02-03 15:00:50.9680,34.34,2019-02-03 15:00:50.9640,145
2019-02-03 15:00:50.9720,512,2019-02-03 15:00:50.9760,61.29,2019-02-03 15:00:50.9720,225
2019-02-03 15:00:50.9800,514,2019-02-03 15:00:50.9840,72.28,2019-02-03 15:00:50.9840,255
2019-02-03 15:00:50.9880,509,2019-02-03 15:00:50.9930,43.32,2019-02-03 15:00:50.9930,175
2019-02-03 15:00:50.9970,503,2019-02-03 15:00:51.0010,13.37,2019-02-03 15:00:51.0050,95
2019-02-03 15:00:51.0050,502,2019-02-03 15:00:51.0090,-11.58,2019-02-03 15:00:51.0130,15
2019-02-03 15:00:51.0170,518,2019-02-03 15:00:51.0210,-19.53,2019-02-03 15:00:51.0210,-65
2019-02-03 15:00:51.0250,527,2019-02-03 15:00:51.0290,-34.48,2019-02-03 15:00:51.0290,-145
2019-02-03 15:00:51.0340,524,2019-02-03 15:00:51.0380,-61.44,2019-02-03 15:00:51.0380,-225
2019-02-03 15:00:51.0420,520,2019-02-03 15:00:51.0500,-74.42,2019-02-03 15:00:51.0460,-255
2019-02-03 15:00:51.0500,527,2019-02-03 15:00:51.0580,-43.47,2019-02-03 15:00:51.0540,-175
2019-02-03 15:00:51.0620,530,2019-02-03 15:00:51.0670,-16.51,2019-02-03 15:00:51.0630,-95
2019-02-03 15:00:51.0710,533,2019-02-03 15:00:51.0750,10.44,2019-02-03 15:00:51.0710,-15
2019-02-03 15:00:51.0790,517,2019-02-03 15:00:51.0830,18.39,2019-02-03 15:00:51.0830,65
2019-02-03 15:00:51.0870,508,2019-02-03 15:00:51.0950,33.34,2019-02-03 15:00:51.0910,145
2019-02-03 15:00:51.0950,512,2019-02-03 15:00:51.1040,61.29,2019-02-03 15:00:51.0990,225
2019-02-03 15:00:51.1070,515,2019-02-03 15:00:51.1080,73.28,2019-02-03 15:00:51.1120,255
2019-02-03 15:00:51.1160,508,2019-02-03 15:00:51.1200,42.32,2019-02-03 15:00:51.1200,175
2019-02-03 15:00:51.1240,504,2019-02-03 15:00:51.1280,14.37,2019-02-03 15:00:51.1280,95
2019-02-03 15:00:51.1320,503,2019-02-03 15:00:51.1360,-10.58,2019-02-03 15:00:51.1400,15
2019-02-03 15:00:51.1400,518,2019-02-03 15:00:51.1440,-19.53,2019-02-03 15:00:51.1480,-65
2019-02-03 15:00:51.1490,526,2019-02-03 15:00:51.1520,-35.48,2019-02-03 15:00:51.1560,-145
2019-02-03 15:00:51.1600,523,2019-02-03 15:00:51.1650,-62.44,2019-02-03 15:00:51.1650,-225
2019-02-03 15:00:51.1690,521,2019-02-03 15:00:51.1730,-73.42,2019-02-03 15:00:51.1690,-255
2019-02-03 15:00:51.1770,526,2019-02-03 15:00:51.1850,-44.47,2019-02-03 15:00:51.1810,-175
2019-02-03 15:00:51.1850,532,2019-02-03 15:00:51.1930,-14.51,2019-02-03 15:00:51.1890,-95
2019-02-03 15:00:51.1970,532,2019-02-03 15:00:51.2010,9.44,2019-02-03 15:00:51.1970,-15
2019-02-03 15:00:51.2050,518,2019-02-03 15:00:51.2100,19.39,2019-02-03 15:00:51.2050,65
